"2000-12-31","2000","December","52","0.0240"
"2001-01-07","2001","January","1","0.0354"
"2001-01-14","2001","January","2","0.0464"
"2001-01-21","2001","January","3","0.0525"
"2001-01-28","2001","January","4","0.0537"
"2001-02-04","2001","February","5","0.0445"
"2001-02-11","2001","February","6","0.0354"
"2001-02-18","2001","February","7","0.0251"
"2001-02-25","2001","February","8","0.0213"
"2002-01-13","2002","January","2","0.0303"
"2002-01-20","2002","January","3","0.0365"
"2002-01-27","2002","January","4","0.0393"
"2002-02-03","2002","February","5","0.0395"
"2002-02-10","2002","February","6","0.0411"
"2002-02-17","2002","February","7","0.0377"
"2002-02-24","2002","February","8","0.0367"
"2002-03-03","2002","March","9","0.0397"
"2002-03-10","2002","March","10","0.0409"
"2002-03-17","2002","March","11","0.0400"
"2002-03-24","2002","March","12","0.0368"
"2002-03-31","2002","March","13","0.0272"
"2002-04-07","2002","April","14","0.0236"
"2002-04-14","2002","April","15","0.0224"
"2002-04-21","2002","April","16","0.0208"
"2002-12-08","2002","December","49","0.0246"
"2002-12-15","2002","December","50","0.0350"
"2002-12-22","2002","December","51","0.0315"
"2003-01-12","2003","January","2","0.0301"
"2003-01-19","2003","January","3","0.0428"
"2003-01-26","2003","January","4","0.0578"
"2003-02-02","2003","February","5","0.0686"
"2003-02-09","2003","February","6","0.0646"
"2003-02-16","2003","February","7","0.0520"
"2003-02-23","2003","February","8","0.0398"
"2003-03-02","2003","March","9","0.0324"
"2003-03-09","2003","March","10","0.0273"
"2003-03-16","2003","March","11","0.0229"
"2003-10-26","2003","October","43","0.0203"
"2003-11-02","2003","November","44","0.0230"
"2003-11-09","2003","November","45","0.0273"
"2003-11-16","2003","November","46","0.0358"
"2003-11-23","2003","November","47","0.0438"
"2003-11-30","2003","November","48","0.0474"
"2003-12-07","2003","December","49","0.0848"
"2003-12-14","2003","December","50","0.0903"
"2003-12-21","2003","December","51","0.0664"
"2003-12-28","2003","December","52","0.0289"
"2004-01-04","2004","January","1","0.0238"
"2004-01-11","2004","January","2","0.0203"
"2004-12-12","2004","December","50","0.0202"
"2004-12-19","2004","December","51","0.0200"
"2005-01-02","2005","January","53","0.0216"
"2005-01-09","2005","January","1","0.0270"
"2005-01-16","2005","January","2","0.0309"
"2005-01-23","2005","January","3","0.0416"
"2005-01-30","2005","January","4","0.0528"
"2005-02-06","2005","February","5","0.0603"
"2005-02-13","2005","February","6","0.0594"
"2005-02-20","2005","February","7","0.0469"
"2005-02-27","2005","February","8","0.0387"
"2005-03-06","2005","March","9","0.0351"
"2005-03-13","2005","March","10","0.0303"
"2005-03-20","2005","March","11","0.0254"
"2005-12-04","2005","December","48","0.0201"
"2005-12-11","2005","December","49","0.0267"
"2005-12-18","2005","December","50","0.0254"
"2006-01-01","2006","January","52","0.0206"
"2006-01-08","2006","January","1","0.0235"
"2006-01-15","2006","January","2","0.0256"
"2006-01-22","2006","January","3","0.0304"
"2006-01-29","2006","January","4","0.0349"
"2006-02-05","2006","February","5","0.0362"
"2006-02-12","2006","February","6","0.0414"
"2006-02-19","2006","February","7","0.0395"
"2006-02-26","2006","February","8","0.0417"
"2006-03-05","2006","March","9","0.0408"
"2006-03-12","2006","March","10","0.0362"
"2006-03-19","2006","March","11","0.0348"
"2006-03-26","2006","March","12","0.0329"
"2006-04-02","2006","April","13","0.0276"
"2006-04-09","2006","April","14","0.0209"
"2006-12-10","2006","December","49","0.0273"
"2006-12-17","2006","December","50","0.0273"
"2006-12-24","2006","December","51","0.0207"
"2007-01-07","2007","January","1","0.0207"
"2007-01-14","2007","January","2","0.0222"
"2007-01-21","2007","January","3","0.0304"
"2007-01-28","2007","January","4","0.0391"
"2007-02-04","2007","February","5","0.0457"
"2007-02-11","2007","February","6","0.0481"
"2007-02-18","2007","February","7","0.0428"
"2007-02-25","2007","February","8","0.0397"
"2007-03-04","2007","March","9","0.0369"
"2007-03-11","2007","March","10","0.0317"
"2007-03-18","2007","March","11","0.0262"
"2007-03-25","2007","March","12","0.0204"
"2008-01-13","2008","January","2","0.0252"
"2008-01-20","2008","January","3","0.0334"
"2008-01-27","2008","January","4","0.0502"
"2008-02-03","2008","February","5","0.0657"
"2008-02-10","2008","February","6","0.0629"
"2008-02-17","2008","February","7","0.0566"
"2008-02-24","2008","February","8","0.0501"
"2008-03-02","2008","March","9","0.0416"
"2008-03-09","2008","March","10","0.0334"
"2008-03-16","2008","March","11","0.0247"
"2009-01-18","2009","January","3","0.0232"
"2009-01-25","2009","January","4","0.0314"
"2009-02-01","2009","February","5","0.0424"
"2009-02-08","2009","February","6","0.0515"
"2009-02-15","2009","February","7","0.0462"
"2009-02-22","2009","February","8","0.0499"
"2009-03-01","2009","March","9","0.0481"
"2009-03-08","2009","March","10","0.0422"
"2009-03-15","2009","March","11","0.0343"
"2009-03-22","2009","March","12","0.0276"
"2009-03-29","2009","March","13","0.0225"
"2009-04-26","2009","April","17","0.0282"
"2009-05-03","2009","May","18","0.0284"
"2009-05-10","2009","May","19","0.0237"
"2009-05-17","2009","May","20","0.0295"
"2009-05-24","2009","May","21","0.0296"
"2009-05-31","2009","May","22","0.0315"
"2009-06-07","2009","June","23","0.0354"
"2009-06-14","2009","June","24","0.0325"
"2009-06-21","2009","June","25","0.0238"
"2009-08-23","2009","August","34","0.0318"
"2009-08-30","2009","August","35","0.0470"
"2009-09-06","2009","September","36","0.0565"
"2009-09-13","2009","September","37","0.0616"
"2009-09-20","2009","September","38","0.0733"
"2009-09-27","2009","September","39","0.0815"
"2009-10-04","2009","October","40","0.0861"
"2009-10-11","2009","October","41","0.0892"
"2009-10-18","2009","October","42","0.1017"
"2009-10-25","2009","October","43","0.0906"
"2009-11-01","2009","November","44","0.0753"
"2009-11-08","2009","November","45","0.0541"
"2009-11-15","2009","November","46","0.0412"
"2009-11-22","2009","November","47","0.0306"
"2009-11-29","2009","November","48","0.0267"
"2009-12-06","2009","December","49","0.0250"
"2009-12-13","2009","December","50","0.0237"
"2010-01-24","2010","January","3","0.0212"
"2010-01-31","2010","January","4","0.0222"
"2010-02-07","2010","February","5","0.0226"
"2010-02-21","2010","February","7","0.0220"
"2010-02-28","2010","February","8","0.0226"
"2010-03-07","2010","March","9","0.0213"
