"1","00-01","H1 & B","5","354","23","301","678","354","23","301","678"
"2","01-02","H3","2","30","393","267","690","30","393","61","484"
"3","02-03","H1 & B","5","287","143","269","699","287","143","268","698"
"4","03-04","H3","2","3","949","71","1024","3","106","5","114"
"5","04-05","H3 & B","6","11","709","355","1075","11","156","264","431"
"6","05-06","H3","2","135","563","321","1019","135","563","60","758"
"7","06-07","H1 & H3 & B","7","486","289","332","1107","486","289","254","1029"
"8","07-08","H3 & B","6","407","404","350","1161","270","91","6","367"
"9","08-09","H1 & B","5","723","107","307","1137","723","107","51","881"
"10","09-10","H1","1","1906","14","43","1963","1897","14","38","1949"
