"1","00-01","H1 & B","5","100","100","100","100","very high","5"
"2","01-02","H3","2","100","100","23","70","high","4"
"3","02-03","H1 & B","5","100","100","100","100","very high","5"
"4","03-04","H3","2","100","11","7","11","very low","1"
"5","04-05","H3 & B","6","100","22","74","40","low","2"
"6","05-06","H3","2","100","100","19","74","high","4"
"7","06-07","H1 & H3 & B","7","100","100","77","93","very high","4"
"8","07-08","H3 & B","6","66","23","2","32","low","2"
"9","08-09","H1 & B","5","100","100","17","77","high","4"
"10","09-10","H1","1","100","100","88","99","very high","5"
